sneaker_name,brand,sneaker_image,retail_price,url
Nike Air Max 1 Travis Scott Cactus Jack Wheat Lemon Drop,Nike,https://images.stockx.com/360/Nike-Air-Max-1-Travis-Scott-Wheat-Lemon-Drop/Images/Nike-Air-Max-1-Travis-Scott-Wheat-Lemon-Drop/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1654266965&h=384&fm=webp&q=60,$160.00,https://stockx.com/nike-air-max-1-travis-scott-wheat-lemon-drop
Jordan 6 Retro Travis Scott,Jordan,https://images.stockx.com/360/Air-Jordan-6-Retro-Travis-Scott/Images/Air-Jordan-6-Retro-Travis-Scott/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1635261519&h=384&fm=webp&q=60,$250.00,https://stockx.com/air-jordan-6-retro-travis-scott
Nike Mac Attack QS SP Travis Scott Cactus Jack,Nike,https://images.stockx.com/360/Nike-Mac-Attack-QS-SP-Travis-Scott/Images/Nike-Mac-Attack-QS-SP-Travis-Scott/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1703796097&h=384&fm=avif&q=60,$120.00,https://stockx.com/nike-mac-attack-qs-sp-travis-scott
Nike Air Trainer 1 SP Travis Scott Grey Haze,Nike,https://images.stockx.com/360/Nike-Air-Trainer-1-SP-Travis-Scott-Grey-Haze/Images/Nike-Air-Trainer-1-SP-Travis-Scott-Grey-Haze/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1655969306&h=384&fm=avif&q=60,$160.00,https://stockx.com/nike-air-trainer-1-sp-travis-scott-grey-haze
Nike Air Trainer 1 SP Travis Scott Wheat,Nike,https://images.stockx.com/360/Nike-Air-Trainer-1-SP-Travis-Scott-Wheat/Images/Nike-Air-Trainer-1-SP-Travis-Scott-Wheat/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1655713945&h=384&fm=avif&q=60,$140.00,https://stockx.com/nike-air-trainer-1-sp-travis-scott-wheat
Nike Air Max 1 Travis Scott Cactus Jack Baroque Brown,Nike,https://images.stockx.com/360/Nike-Air-Max-1-Travis-Scott-Baroque-Brown/Images/Nike-Air-Max-1-Travis-Scott-Baroque-Brown/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1645099992&h=384&fm=avif&q=60,$150.00,https://stockx.com/nike-air-max-1-travis-scott-baroque-brown
Jordan 1 Retro Low OG SP Fragment x Travis Scott,Jordan,https://images.stockx.com/360/Air-Jordan-1-Low-fragment-design-x-Travis-Scott/Images/Air-Jordan-1-Low-fragment-design-x-Travis-Scott/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1635183978&h=384&fm=avif&q=60,$150.00,https://stockx.com/air-jordan-1-low-fragment-design-x-travis-scott
Jordan 1 Retro High OG SP Travis Scott Mocha,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-High-Travis-Scott/Images/Air-Jordan-1-Retro-High-Travis-Scott/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1635191289&h=384&fm=webp&q=60,$175.00,https://stockx.com/air-jordan-1-retro-high-travis-scott
Jordan 6 Retro Travis Scott British Khaki,Jordan,https://images.stockx.com/360/Air-Jordan-6-Retro-Travis-Scott-British-Khaki/Images/Air-Jordan-6-Retro-Travis-Scott-British-Khaki/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1635345585&h=384&fm=avif&q=60,$250.00,https://stockx.com/air-jordan-6-retro-travis-scott-british-khaki
Jordan 1 Retro Low OG SP Travis Scott Reverse Mocha,Jordan,https://images.stockx.com/360/Air-Jordan-1-Retro-Low-OG-SP-Travis-Scott-Reverse-Mocha/Images/Air-Jordan-1-Retro-Low-OG-SP-Travis-Scott-Reverse-Mocha/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1662135192&h=384&fm=avif&q=60,$150.00,https://stockx.com/air-jordan-1-retro-low-og-sp-travis-scott-reverse-mocha
Jordan Jumpman Jack TR Travis Scott Sail,Jordan,https://images.stockx.com/360/Air-Jordan-Cut-The-Check-TR-Travis-Scott-Sail/Images/Air-Jordan-Cut-The-Check-TR-Travis-Scott-Sail/Lv2/img01.jpg?auto=compress&w=576&dpr=2&updated_at=1707761828&h=384&fm=avif&q=60,$200.00,https://stockx.com/air-jordan-cut-the-check-tr-travis-scott-sail
